Masking,Masking Categories,Age,Gender,Race,Prior Condition,Political Affiliation,Has Primary Care Physician,Education,Housing Status,Insurance Status,Internet,News,Family or Friends,Pamphlets,Community Organizations,Coworkers or Classmates,Health Care Professionals,Government Health Department,Other,No Information,Reason No Access to Masks,Reason Do Not Believe in Efficacy,Reason Ran Out of Masks,Reason Pressured Not to Wear Mask,Reason Makes it Hard to Work,Reason Uncomfortable,Reason Previously Wore But Got Tired,Reason Makes Breathing Difficult,Reason Masks No Longer Recommended,Reason Other
Always,Frequent,45-64,Female,White Non-Latinx,Yes,Republican,Yes,Some College,Unhoused,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Yes,No Affiliation,Yes,Graduate or Professional Degree,Unhoused,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,65-84,Male,African American / Black,No,No Affiliation,Missing,High School or Less,Housed,Missing,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Other,No,Republican,No,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Other,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,White Non-Latinx,No,Multiparty,Yes,College Degree,Housed,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,No,No Affiliation,No,Missing,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Multiracial,No,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Multiracial,Yes,Democrat,No,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,Asian,Yes,No Affiliation,Yes,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,Hispanic or Latinx,Yes,No Affiliation,No,High School or Less,Housed,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,No Affiliation,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,45-64,Male,Hispanic or Latinx,Yes,No Affiliation,No,High School or Less,Unhoused,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,White Non-Latinx,No,Other,No,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Missing,Yes,Other,No,High School or Less,Housed,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Hispanic or Latinx,No,No Affiliation,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,Other,No,High School or Less,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Hispanic or Latinx,Yes,Missing,Yes,Missing,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,Hispanic or Latinx,Yes,No Affiliation,No,Missing,Housed,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Hispanic or Latinx,No,Missing,No,Missing,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,Hispanic or Latinx,Yes,No Affiliation,No,Missing,Housed,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,Missing,Multiparty,No,College Degree,Unhoused,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,No,No Affiliation,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,Republican,No,High School or Less,Housed,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,Hispanic or Latinx,Yes,No Affiliation,No,High School or Less,Housed,Missing,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,Hispanic or Latinx,Yes,No Affiliation,Yes,Some College,Housed,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Male,Hispanic or Latinx,No,No Affiliation,Yes,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Always,Frequent,45-64,Female,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,No,No Affiliation,No,College Degree,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Male,Hispanic or Latinx,No,No Affiliation,No,High School or Less,Housed,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,Hispanic or Latinx,No,Missing,No,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,White Non-Latinx,No,Independent,Yes,Graduate or Professional Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Hispanic or Latinx,No,Missing,No,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,Yes,No Affiliation,No,High School or Less,Unhoused,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Multiracial,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Middle Eastern,No,Democrat,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,No,No Affiliation,No,Missing,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Hispanic or Latinx,Yes,No Affiliation,No,College Degree,Housed,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,White Non-Latinx,Yes,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Male,White Non-Latinx,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,African American / Black,Yes,Other,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Yes,No Affiliation,No,Some College,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,White Non-Latinx,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,Hispanic or Latinx,No,No Affiliation,No,Some College,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Other,No,Independent,No,Some College,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Other,Yes,No Affiliation,Yes,High School or Less,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Hispanic or Latinx,Yes,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Male,Asian,No,Multiparty,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,18-24,Male,White Non-Latinx,No,No Affiliation,Yes,Some College,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
Always,Frequent,25-34,Male,Hispanic or Latinx,No,No Affiliation,No,Some College,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Nonbinary,Hispanic or Latinx,No,Missing,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,Hispanic or Latinx,Yes,Democrat,Yes,High School or Less,Missing,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,No Affiliation,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Unhoused,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Male,Hispanic or Latinx,Yes,No Affiliation,No,Some College,Housed,Missing,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,African American / Black,Yes,Republican,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,White Non-Latinx,Yes,No Affiliation,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,Multiracial,Yes,No Affiliation,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,Hispanic or Latinx,No,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,Hispanic or Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,White Non-Latinx,Yes,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,25-34,Female,Hispanic or Latinx,No,No Affiliation,No,College Degree,Housed,Missing,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,African American / Black,Yes,Democrat,Yes,High School or Less,Missing,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Trans Male,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Female,White Non-Latinx,Yes,Independent,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,65-84,Female,White Non-Latinx,Yes,Republican,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,Missing,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Male,African American / Black,Yes,Democrat,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Male,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Majority,Frequent,45-64,Male,African American / Black,No,Democrat,Yes,Some College,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,35-44,Female,African American / Black,No,Democrat,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,25-34,Male,African American / Black,No,Independent,No,College Degree,Housed,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
Majority,Frequent,35-44,Male,African American / Black,No,Republican,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Female,White Non-Latinx,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Female,White Non-Latinx,Yes,Republican,Yes,College Degree,Housed,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Majority,Frequent,18-24,Female,White Non-Latinx,No,Democrat,No,College Degree,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,White Non-Latinx,No,Independent,No,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Male,White Non-Latinx,Yes,Democrat,Yes,Graduate or Professional Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes
Majority,Frequent,45-64,Male,Hispanic or Latinx,No,Democrat,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Male,White Non-Latinx,No,Republican,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
Majority,Frequent,18-24,Female,White Non-Latinx,Yes,Multiparty,No,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,45-64,Male,African American / Black,No,Democrat,Yes,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,45-64,Male,White Non-Latinx,No,Multiparty,Yes,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,White Non-Latinx,Yes,Missing,No,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,African American / Black,No,Democrat,No,Some College,Housed,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Male,White Non-Latinx,Yes,Republican,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
Majority,Frequent,45-64,Male,African American / Black,No,Democrat,Yes,Some College,Housed,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,45-64,Female,African American / Black,Yes,Independent,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Never,Infrequent,25-34,Female,White Non-Latinx,Yes,Republican,Yes,Some College,Housed,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Majority,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Female,Native American,No,Democrat,Yes,Some College,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Female,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,25-34,Male,Multiracial,Missing,Independent,Yes,College Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Female,White Non-Latinx,Yes,Republican,Yes,College Degree,Housed,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Always,Frequent,45-64,Female,African American / Black,No,Democrat,Yes,Some College,Housed,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,65-84,Female,White Non-Latinx,Yes,Republican,Yes,Some College,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Independent,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,65-84,Male,African American / Black,Yes,Democrat,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,65-84,Male,White Non-Latinx,Yes,Republican,Yes,Graduate or Professional Degree,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Majority,Frequent,35-44,Male,White Non-Latinx,Missing,Other,Yes,High School or Less,Housed,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,45-64,Male,White Non-Latinx,Yes,Multiparty,Yes,High School or Less,Housed,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Always,Frequent,65-84,Female,African American / Black,Yes,Democrat,Yes,Some College,Housed,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Never,Infrequent,18-24,Male,White Non-Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Always,Frequent,25-34,Female,White Non-Latinx,Yes,Independent,Yes,Some College,Housed,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Infrequently,Infrequent,25-34,Female,White Non-Latinx,No,Democrat,Yes,College Degree,Housed,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Always,Frequent,45-64,Male,White Non-Latinx,Yes,Other,Yes,College Degree,Housed,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Around Half,Frequent,84-99,Female,White Non-Latinx,Yes,No Affiliation,Yes,High School or Less,Housed,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always,Frequent,18-24,Female,Native American,No,Democrat,Yes,College Degree,Housed,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
